Protocol,Brand,Type,Cable,SupportURL,Message,MaxDelayToComplete,ControlCoverage,Bidrectionnal
Aja Serial,Aja,Block,CY-CBL-6P-AJA-01,https://support.cyanview.com/docs/Integrations/AJA/RovoCam,,1000,2,
Aida Visca IP,Aida,PTZ,Ethernet-RJ45,,,500,2,
Arri CAP,ARRI,Large Sensor,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/ARRI/ARRICAP,,500,2,
Arri SSCP,ARRI,Large Sensor,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/ARRI/ARRISSCP,,500,2,
Birdog PTZ,Birdog,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Birddog/BirddogPTZ,,500,2,
BlackMagic IP,BlackMagic,Large Sensor,IP-to-USB-C,https://support.cyanview.com/docs/Integrations/Blackmagic/CameraIP,,500,5,
BlackMagic SDI,BlackMagic,Large Sensor,BM-SDI,https://support.cyanview.com/docs/Integrations/Blackmagic/CameraSDI,,500,2,No
Canon DSLR,Canon,DSLR,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Canon/CanonMirrorless,,500,2,
Canon PTZ,Canon,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Canon/CanonPTZ,,500,5,
Canon RemoteA,Canon,Large Sensor,CY-CBL-6P-LANC-1,https://support.cyanview.com/docs/Integrations/Canon/CanonRemoteA,,500,2,
Canon XC,Canon,Large Sensor,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Canon/CanonXC,,500,4,
Canon XF605,Canon,Handheld Camcorder,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Canon/CanonXF605,,500,2,
Canon XF705,Canon,Handheld Camcorder,CY-CBL-6P-LANC-1,https://support.cyanview.com/docs/Integrations/Canon/CanonXF705,,500,5,
DreamChip Serial,Dreamchip,Mini Camera,CY-CBL-6P-DCHIP-02,https://support.cyanview.com/docs/Integrations/Dreamchip/,,500,5,
Dreamchip SSM,Dreamchip,Slow Motion,CY-CBL-6P-DCHIP-03,https://support.cyanview.com/docs/Integrations/Dreamchip/ssm500,,500,5,
Ikegami Serial,Ikegami,Shoulder Camcorder,CY-CBL-6P-FAN100,https://support.cyanview.com/docs/Integrations/Ikegami/ICPP, CY-CBL-6P-FAN cable and a Tajimi Male Plug 8 pins PRC05-PB8M connector.,500,2,
JVC IP,Jvc,Handheld Camcorder,JVC USB-to-IP,https://support.cyanview.com/docs/Integrations/JVC/JVCCamcorder,,500,2,
Panasonic BGH1,Panasonic,Block,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/BGH1,,500,2,
Panasonic CX350,Panasonic,Handheld Camcorder,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/CX350,,500,2,
Panasonic DSLR,Panasonic,DSLR,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Panasonic/GH5S,,500,2,
Panasonic EVA1,Panasonic,Large Sensor,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/EVA1,,500,2,
Panasonic P2,Panasonic,Shoulder Camcorder,CY-CBL-6P-PAN-10P,https://support.cyanview.com/docs/Integrations/Panasonic/P2,,500,2,
Panasonic PTZ,Panasonic,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/PanasonicPTZ,,500,2,
Panasonic Varicam,Panasonic,Handheld Camcorder,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/Varicam,,500,2,
Panasonic UC,Panasonic,Shoulder Camcorder,Ethernet-RJ45,Not documented 202405,UC4000 very well covered,500,2,
Red IP,Red,Large Sensor,IP-to-USB-C,https://support.cyanview.com/docs/Integrations/RED/Komodo,,500,4,
Sony 8-Pin,Sony,Shoulder Camcorder,CY-CBL-SONY-8P-03,https://support.cyanview.com/docs/Integrations/Sony/Sony8Pin,Our solutions offers the same color control than the Sony RCP,500,2,
Sony Burano,Sony,Large Sensor,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Sony/SonyBurano,,500,2,
Sony CBM,Sony,Large Sensor,WiFi,https://support.cyanview.com/docs/Integrations/Sony/SonyCBM,,500,2,
Sony DSLR,Sony,DSLR,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Sony/SonyMirrorless,,500,2,
Sony Visca,Sony,Block,CY-CBL-6P-FAN100,https://support.cyanview.com/docs/Integrations/Sony/SonyFCB,,500,2,
Sony FR7,Sony,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Sony/SonyFR7,,500,2,
Sony FX6,Sony,Large Sensor,USB-C-to-IP,https://support.cyanview.com/docs/Integrations/Sony/SonyFX6,,500,2,
Sony FX9-XDCA,Sony,Large Sensor,XDCA back,https://support.cyanview.com/docs/Integrations/Sony/SonyFX9,,500,5,
Sony FX9-WiFi,Sony,Large Sensor,WiFi,https://support.cyanview.com/docs/Integrations/Sony/SonyFX9,,500,5,
Sony Lanc,Sony,Handheld Camcorder,CY-CBL-6P-LANC-2,https://support.cyanview.com/docs/Integrations/Sony/SonyLanc,,500,1,No
Sony PTZ,Sony,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Sony/SonyPTZ,,500,5,
Sony Venice,Sony,Large Sensor,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Sony/SonyVenice,,500,2,
Marshall Breakout,Marshall,Mini Camera,CY-CBL-6P-PFAN,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500,1,No
Marshall Hirose,Marshall,Mini Camera,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500,1,No
Marshall PushLock,Marshall,Mini Camera,CY-CBL-6P-FAN100,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500,1,No
Marshall Ethernet,Marshall,Mini Camera,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500,1,
