Model,Reference,Protocol,Brand,LensMount,ManufacturerURL,Remark,Type,Cable,SupportURL,Message,MaxDelayToComplete,ControlCoverage,Bidirectionnal,Selected,Number,Lens,Network,Base,CameraLensCategory,lensControl,lensType,lensMotor,LensTypes
TMX74,Adimec,Not still documented,Adimec,Unknown,https://www.adimec.com/cameras/global-security/tmx-cmos-cameras/tmx74/,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
GEN3G-200,AidaGen3G200,Not still documented,Aida,No-Xchange-Manual,https://aidaimaging.com/gen3g-200/,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
HD NDI 200,AidaHdNdi200,Not still documented,Aida,No-Xchange-Manual,https://aidaimaging.com/hd-ndi-200/,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
PTZ X12,AidaPtzX12,Not still documented,Aida,No-Xchange-Motorized,https://aidaimaging.com/hd-ndi-200/,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
UHD6G-200,AidaUHD6G200,Not still documented,Aida,No-Xchange-Manual,https://aidaimaging.com/uhd6g-200/,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
ROVOCAM,Rovocam,Aja Serial,Aja,B4-Mount,https://www.aja.com/products/rovocam/spec-sheet.pdf,,BBlock,CY-CBL-6P-AJA-01,https://support.cyanview.com/docs/Integrations/AJA/RovoCam,,1000.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Broadcast,No Need,B4-Mount,No extra motors,
ARC360,Arc360,Not still documented,ARC,B4-Mount,https://www.agileremotecameras.com/products/arc360-ptz-camera/,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
ALEXA 35,Alexa 35,Arri CAP,ARRI,LPL-Mount,https://www.arri.com/en/camera-systems/cameras/alexa-35,,CineStyle,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/ARRI/ARRICAP,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
ALEXA MINI,Alexa mini,Arri CAP,ARRI,LPL-Mount,https://www.arri.com/en/camera-systems/cameras/legacy-camera-systems/alexa-mini,,CineStyle,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/ARRI/ARRICAP,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
ALEXA MINI LF,Alexa mini LF,Arri CAP,ARRI,LPL-Mount,https://www.arri.com/en/camera-systems/cameras/alexa-mini-lf,,CineStyle,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/ARRI/ARRICAP,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
AMIRA,Amira,Arri SSCP,ARRI,LPL-Mount,https://www.arri.com/en/camera-systems/cameras/amira,,CineStyle,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/ARRI/ARRISSCP,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
AC4829,Astro4829,Not still documented,AstroDesign,PL-Mount,https://www.astrodesign.co.jp/english/product/ab-4830_ac-4829,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
DRIVER'S EYE,BellDriversEye,Not still documented,Bell,Unknown,https://bellracing.eu/,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
P100,BirdDogP100,Birdog PTZ,BirdDog,No-Xchange-Motorized,https://birddog.tv/p100-overview/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Birddog/BirddogPTZ,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,
P200,BirdDogP200,Birdog PTZ,BirdDog,No-Xchange-Motorized,https://birddog.tv/p200-overview/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Birddog/BirddogPTZ,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,
P400,BirdDogP400,Birdog PTZ,BirdDog,No-Xchange-Motorized,https://birddog.tv/p400-overview/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Birddog/BirddogPTZ,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,
P4K,BirdDogP4K,Birdog PTZ,BirdDog,No-Xchange-Motorized,https://birddog.tv/p4k-overview/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Birddog/BirddogPTZ,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,
